"Make","Model","Variant","Color","Year","Status","Base","Additional","Total","Notes","URL"
"Mazda","RX-7 FD3S","Base","Black","2025","parked","6","0","6","","https://www.google.dk/maps/@35.3937518,139.466403,3a,32.1y,219.67h,83.62t/data=!3m8!1e1!3m6!1sRp8yRPrR8muWPGpSx1VY5A!2e0!5s20251101T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D6.3795918305462465%26panoid%3DRp8yRPrR8muWPGpSx1VY5A%26yaw%3D219.67356281407902!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxNS4wIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R32","GT-R","Silver","2009","parked","7","2","9","","https://www.google.dk/maps/@35.6552519,139.6096139,3a,48.9y,230.52h,67.48t/data=!3m8!1e1!3m6!1snEj7sObGgnzbmbAsHwtKNg!2e0!5s20090701T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D22.519883072126902%26panoid%3DnEj7sObGgnzbmbAsHwtKNg%26yaw%3D230.51981649588896!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D"
"Toyota","Supra A80","Series I","White","2009","parked","7","11","18","VeilSide Combat C1 bodykit","https://www.google.dk/maps/@35.7522048,139.9191973,3a,40.5y,243.84h,79.87t/data=!3m8!1e1!3m6!1sLI27BN6V6_aBFCMMhpdXog!2e0!5s20090701T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D10.132089294930964%26panoid%3DLI27BN6V6_aBFCMMhpdXog%26yaw%3D243.8406607419481!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D"
"Honda","Civic FK","FK8 Type R","Black","2022","parked","5","0","5","","https://www.google.dk/maps/@35.7598264,139.9140804,3a,43.1y,328.37h,78.23t/data=!3m8!1e1!3m6!1sbyZKK495SmKjXiQC8iceqw!2e0!5s20220801T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D11.768025075502848%26panoid%3DbyZKK495SmKjXiQC8iceqw%26yaw%3D328.37249840888995!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D"
"Mitsubishi","3000 GT","VR4","Blue","2009","parked","5","4","9","","https://www.google.dk/maps/@35.7618283,139.9147072,3a,33.8y,304.51h,88.05t/data=!3m8!1e1!3m6!1sOHbT6a8rl4QXg8gt7FPs_A!2e0!5s20090701T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.9546896420872173%26panoid%3DOHbT6a8rl4QXg8gt7FPs_A%26yaw%3D304.5149060818631!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D"
"Nissan","Skyline R34","GT-R","Black","2015","parked","8","0","8","","https://www.google.dk/maps/@35.696939,139.9971783,3a,15.4y,178.28h,86.48t/data=!3m8!1e1!3m6!1slqcG0qILQ8NgvFcyRVsXJQ!2e0!5s20150501T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.523083357868387%26panoid%3DlqcG0qILQ8NgvFcyRVsXJQ%26yaw%3D178.2799336426068!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D"
"Toyota","Supra A80","Series II","White","2010","parked","7","1","8","","https://www.google.dk/maps/@35.6957588,140.0080341,3a,38.6y,174.43h,83.22t/data=!3m8!1e1!3m6!1s4W_LFgz34og-SS3oUXngbg!2e0!5s20100201T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D6.775682751506494%26panoid%3D4W_LFgz34og-SS3oUXngbg%26yaw%3D174.4287115603524!7i13312!8i6656?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D"
"Honda","Civic EG","EG6 SiR","Blue","2025","parked","5","2","7","","https://www.google.dk/maps/@35.6959458,140.0307693,3a,15y,25.05h,83.7t/data=!3m8!1e1!3m6!1sVTt9JE_6v6VRBzpLDadb3g!2e0!5s20250601T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D6.295118607207982%26panoid%3DVTt9JE_6v6VRBzpLDadb3g%26yaw%3D25.047707650683233!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D"
"Mazda","RX-7 FD3S","Spirit R","Blue","2019","parked","7","1","8","","https://www.google.dk/maps/@35.517426,139.4787459,3a,27.2y,285.45h,90.47t/data=!3m8!1e1!3m6!1sM7WYkEIY4Q9_8LBGFqRhxw!2e0!5s20190801T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.47026473224821075%26panoid%3DM7WYkEIY4Q9_8LBGFqRhxw%26yaw%3D285.4454360961604!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D"
"Toyota","Corolla AE86","Levin","Gold","2022","parked","6","3","9","","https://www.google.dk/maps/@35.5396273,139.502623,3a,25.1y,292.6h,85.6t/data=!3m7!1e1!3m5!1sk5KCwEFltbkzwP427Onmvw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D4.399436448004579%26panoid%3Dk5KCwEFltbkzwP427Onmvw%26yaw%3D292.59925871999025!7i16384!8i8192?hl=da&entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D"
